Id,Predicted
0,0.276696
1,0.0477781
2,0.0374042
3,0.010749
4,0.020069
5,0.0176997
6,0.0239445
7,0.101824
8,0.0162099
9,0.530713
10,0.00775631
11,0.0261478
12,0.0141401
13,0.0189431
14,0.114205
15,0.0583259
16,0.149688
17,0.0174551
18,0.0180515
19,0.0322974
20,0.00668816
21,0.0124735
22,0.0155287
23,0.0156443
24,0.0163685
25,0.0543099
26,0.0648617
27,0.0884072
28,0.0137374
29,0.0181283
30,0.0102375
31,0.0471244
32,0.0596983
33,0.0595252
34,0.00819212
35,0.0671282
36,0.274993
37,0.0157525
38,0.00932951
39,0.0205995
40,0.0111387
41,0.041856
42,0.0934753
43,0.0722958
44,0.0625372
45,0.0132884
46,0.0594346
47,0.0219183
48,0.0197238
49,0.518407
50,0.0148454
51,0.0137999
52,0.251952
53,0.0462776
54,0.010559
55,0.010565
56,0.0190034
57,0.0118545
58,0.0163459
59,0.0647272
60,0.0917615
61,0.0150986
62,0.219128
63,0.268444
64,0.73002
65,0.0184334
66,0.0844214
67,0.0204045
68,0.0177611
69,0.0728783
70,0.100095
71,0.0469479
72,0.0165877
73,0.0148481
74,0.253185
75,0.0100712
76,0.0494148
77,0.0217575
78,0.144972
79,0.0114139
80,0.0138271
81,0.0752796
82,0.0135491
83,0.259459
84,0.011997
85,0.152426
86,0.0880403
87,0.373026
88,0.0114133
89,0.0226412
90,0.284453
91,0.285497
92,0.0155868
93,0.146019
94,0.154695
95,0.143079
96,0.0324919
97,0.0189674
98,0.20487
99,0.0234141
100,0.0413873
101,0.0114482
102,0.00737125
103,0.0100229
104,0.0209092
105,0.0800007
106,0.0195501
107,0.71223
108,0.0150407
109,0.0788318
110,0.0183302
111,0.00995205
112,0.0576557
113,0.0128305
114,0.00689686
115,0.165099
116,0.0324737
117,0.0220029
118,0.310872
119,0.0140946
120,0.0174382
121,0.0695156
122,0.014483
123,0.16432
124,0.134921
125,0.0119763
126,0.0187427
127,0.377059
128,0.0212482
129,0.0152633
130,0.0585773
131,0.0521051
132,0.0547419
133,0.16238
134,0.069122
135,0.0127691
136,0.0165348
137,0.0181643
138,0.00671897
139,0.0130951
140,0.255919
141,0.0635748
142,0.00760641
143,0.244937
144,0.0729389
145,0.0111167
146,0.548905
147,0.212469
148,0.0213876
149,0.0920042
150,0.199471
151,0.0142222
152,0.0194354
153,0.183447
154,0.0273788
155,0.145489
156,0.272033
157,0.0102827
158,0.012975
159,0.0208434
160,0.043943
161,0.0232686
162,0.0268584
163,0.0556938
164,0.0605076
165,0.01486
166,0.00940259
167,0.022235
168,0.0172388
169,0.0255131
