arquitectuta,error-train,desv-error-train,error-test,desv-error-test
{n:2:k},0.030144,6.11858e-05,0.0272387,9.799e-05
{n:4:k},0.030003,7.52494e-05,0.0271007,7.39452e-05
{n:8:k},0.0299017,7.70147e-05,0.0270063,4.50037e-05
{n:32:k},0.0297689,3.46677e-05,0.0269924,2.27153e-05
{n:64:k},0.0297746,4.95201e-05,0.027009,3.04414e-05
{n:100:k},0.0297604,4.22055e-05,0.026995,4.42267e-05
{n:2:2:k},0.0301755,2.17583e-05,0.0272869,2.9527e-05
{n:4:4:k},0.0301034,7.97793e-05,0.0272091,7.38196e-05
{n:8:8:k},0.0300488,5.13141e-05,0.0271334,6.0522e-05
{n:32:32:k},0.029811,0.000114052,0.026973,9.09515e-05
{n:64:64:k},0.0295418,6.72246e-05,0.0269774,5.04636e-05
{n:100:100:k},0.0294435,5.04461e-05,0.0270882,6.06973e-05
