arquitectuta,error-train,desv-error-train,error-test,desv-error-test
{n:2:k},0.237245,0.024927,0.237245,0.024927
{n:4:k},0.17623,0.0624282,0.17623,0.0624282
{n:8:k},0.0632625,0.0348099,0.0632625,0.0348099
{n:32:k},0.0164764,0.00273823,0.0164764,0.00273823
{n:64:k},0.0587316,0.107693,0.0587316,0.107693
{n:100:k},0.104873,0.1334,0.104873,0.1334
{n:2:2:k},0.249881,0.000277139,0.249881,0.000277139
{n:4:4:k},0.24301,0.0120244,0.24301,0.0120244
{n:8:8:k},0.192439,0.0491734,0.192439,0.0491734
{n:32:32:k},0.00702618,0.00107954,0.00702618,0.00107954
{n:64:64:k},0.00304487,0.000374046,0.00304487,0.000374046
{n:100:100:k},0.00171962,0.000203223,0.00171962,0.000203223
