Id,Category
0,2
1,1
2,9
3,1
4,7
5,9
6,9
7,5
8,6
9,10
10,4
11,9
12,0
13,5
14,4
15,2
16,3
17,10
18,7
19,0
20,10
21,4
22,4
23,0
24,4
25,0
26,8
27,7
28,3
29,3
30,0
31,7
32,8
33,6
34,3
35,4
36,7
37,1
38,1
39,1
40,1
41,9
42,1
43,4
44,2
45,9
46,1
47,3
48,9
49,1
50,7
51,0
52,8
53,9
54,1
55,6
56,10
57,9
58,2
59,8
60,4
61,9
62,8
63,3
64,7
65,0
66,5
67,3
68,10
69,2
70,5
71,4
72,2
73,1
74,9
75,10
76,1
77,6
78,7
79,0
80,4
81,1
82,5
83,3
84,6
85,0
86,7
87,10
88,0
89,10
90,4
91,1
92,2
93,3
94,9
95,0
96,10
97,7
98,10
99,3
100,1
101,7
102,1
103,5
104,7
105,5
106,5
107,5
108,7
109,1
110,8
111,4
112,4
113,7
114,7
115,7
116,9
117,6
118,9
119,6
120,3
121,8
122,6
123,7
124,3
125,10
126,0
127,4
128,8
129,8
130,5
131,9
132,3
133,6
134,2
135,10
136,6
137,10
138,5
139,9
140,10
141,1
142,6
143,4
144,8
145,5
146,6
147,7
148,1
149,8
150,4
151,5
152,1
153,0
154,2
155,0
156,2
157,8
158,5
159,7
160,8
161,8
162,3
163,1
164,8
165,4
166,5
167,4
168,0
169,9
170,8
171,9
172,0
173,9
174,2
175,9
176,2
177,9
178,9
179,10
180,10
181,2
182,8
183,7
184,3
185,7
186,5
187,7
188,1
189,1
190,3
191,5
192,7
193,10
194,8
195,3
196,9
197,8
198,0
199,8
200,6
201,6
202,8
203,2
204,6
205,3
206,4
207,1
208,4
209,6
210,3
211,8
212,6
213,1
214,2
215,0
216,6
217,0
218,3
219,5
220,0
221,4
222,3
223,8
224,1
225,10
226,3
227,2
228,4
229,6
230,9
231,3
232,6
233,10
234,9
235,9
236,1
237,5
238,2
239,5
240,6
241,1
242,7
243,9
244,5
245,0
246,9
247,7
248,5
249,2
250,8
251,7
252,3
253,6
254,5
255,4
256,8
257,3
258,2
259,4
260,5
261,8
262,3
263,3
264,0
265,3
266,6
267,2
268,4
269,0
270,3
271,8
272,0
273,6
274,7
275,0
276,7
277,8
278,4
279,9
280,6
281,3
282,9
283,5
284,10
285,8
286,3
287,1
288,8
289,10
290,4
291,3
292,10
293,3
294,10
295,2
296,1
297,2
298,4
299,6
300,4
301,5
302,5
303,2
304,7
305,0
306,1
307,7
308,2
309,4
310,0
311,0
312,6
313,7
314,7
315,5
316,8
317,8
318,10
319,4
320,5
321,0
322,6
323,5
324,9
325,2
326,4
327,1
328,1
329,0
330,9
331,9
332,1
333,8
334,0
335,1
336,0
337,9
338,0
339,9
340,9
341,1
342,10
343,10
344,8
345,10
346,0
347,1
348,10
349,2
350,4
351,7
352,2
353,5
354,7
355,0
356,5
357,7
358,4
359,2
360,5
361,4
362,7
363,6
364,0
365,8
366,10
367,0
368,6
369,6
370,5
371,3
372,3
373,5
374,9
375,2
376,8
377,7
378,9
379,10
380,7
381,2
382,8
383,6
384,5
385,3
386,8
387,8
388,6
389,8
390,6
391,3
392,10
393,10
394,9
395,8
396,8
397,2
398,4
399,3
400,3
401,9
402,9
403,4
404,7
405,5
406,5
407,1
408,9
409,7
410,7
411,3
412,4
413,1
414,6
415,7
416,6
417,4
418,5
419,8
420,2
421,4
422,3
423,7
424,0
425,6
426,2
427,8
428,0
429,6
430,5
431,4
432,6
433,7
434,7
435,7
436,7
437,4
438,0
439,7
440,1
441,9
442,8
443,6
444,7
445,2
446,6
447,4
448,7
449,2
450,9
451,6
452,3
453,0
454,6
455,9
456,9
457,2
458,0
459,1
460,7
461,3
462,8
463,8
464,9
465,10
466,9
467,6
468,2
469,10
470,0
471,10
472,2
473,1
474,6
475,0
476,1
477,10
478,6
479,6
480,1
481,9
482,0
483,5
484,5
485,2
486,3
487,4
488,4
489,5
490,4
491,6
492,8
493,9
494,3
495,9
496,3
497,10
498,9
499,1
500,4
501,7
502,1
503,1
504,9
505,10
506,10
507,4
508,9
509,6
510,7
511,6
512,2
513,5
514,2
515,2
516,4
517,0
518,7
519,1
520,1
521,3
522,5
523,5
524,5
525,7
526,2
527,2
528,2
529,10
530,5
531,8
532,7
533,6
534,4
535,1
536,6
537,1
538,9
539,2
540,9
541,1
542,4
543,2
544,0
545,2
546,7
547,3
548,8
549,4
550,10
551,0
552,7
553,5
554,6
555,4
556,5
557,3
558,1
559,7
560,7
561,7
562,10
563,0
564,8
565,8
566,7
567,3
568,3
569,1
570,6
571,9
572,7
573,10
574,0
575,2
576,10
577,6
578,9
579,2
580,9
581,9
582,7
583,6
584,5
585,4
586,0
587,4
588,8
589,8
590,3
591,7
592,9
593,3
594,0
595,5
596,0
597,6
598,6
599,10
600,10
601,7
602,2
603,10
604,3
605,3
606,0
607,2
608,6
609,8
610,5
611,9
612,5
613,0
614,10
615,7
616,3
617,10
618,8
619,2
620,1
621,4
622,5
623,7
624,8
625,9
626,9
627,3
628,4
629,3
630,8
631,4
632,8
633,2
634,2
635,6
636,4
637,1
638,5
639,4
640,6
641,10
642,6
643,2
644,9
645,1
646,8
647,5
648,10
649,6
650,10
651,10
652,10
653,0
654,3
655,5
656,10
657,8
658,9
659,2
660,2
661,8
662,10
663,3
664,2
665,9
666,9
667,1
668,9
669,6
670,10
671,6
672,10
673,3
674,3
675,8
676,3
677,10
678,0
679,2
680,4
681,10
682,4
683,0
684,6
685,5
686,7
687,7
688,2
689,7
690,0
691,8
692,3
693,0
694,0
695,2
696,5
697,7
698,8
699,1
700,6
701,4
702,1
703,8
704,6
705,5
706,9
707,10
708,8
709,5
710,1
711,6
712,5
713,7
714,2
715,4
716,5
717,9
718,7
719,8
720,1
721,3
722,8
723,2
724,8
725,1
726,9
727,3
728,5
729,4
730,10
