problema,eta,ratio_rbf,l2,mean_train_mse,std_train_mse,mean_train_ccr,std_train_ccr,mean_test_mse,std_test_mse,mean_test_ccr,std_test_ccr
vote,0.1,0.05,False,0.0290820,0.0027380,95.705521,0.5132883,0.0339000,0.0016117,96.146788,0.3669724
nomnist,0.,0.25,True,0.0256708,0.0003047,91.222222,0.3220305,0.0269078,0.0002128,91.266666,0.3887301
vote,0.1,0.05,False,0.0293643,0.0031207,95.521472,0.3680981,0.0348424,0.0054304,96.146788,0.8988953
nomnist,0.1,0.25,True,0.0238115,0.0002640,92.0,0.1859244,0.0262591,0.0004338,91.533333,0.3399346






